2020-02-15,20
2020-02-16,20
2020-02-17,20
2020-02-18,18
2020-02-19,18
2020-02-20,18
2020-02-21,16
2020-02-22,15
2020-02-23,14
2020-02-24,20
2020-02-25,15
2020-02-26,18
2020-02-27,12
2020-02-28,13
2020-02-29,14
2020-03-01,11
2020-03-02,12
2020-03-03,12
2020-03-04,12
2020-03-05,15
2020-03-06,16
2020-03-07,18
2020-03-08,16
2020-03-09,16
2020-03-10,19
2020-03-11,24
2020-03-12,34
2020-03-13,39
2020-03-14,46
2020-03-15,78
2020-03-16,111
2020-03-17,135
2020-03-18,169
2020-03-19,229
2020-03-20,279
2020-03-21,366
2020-03-22,554
2020-03-23,668
2020-03-24,771
2020-03-25,860
2020-03-26,953
2020-03-27,1034
2020-03-28,1142
2020-03-29,1152
2020-03-30,1286
2020-03-31,1299
2020-04-01,1254
2020-04-02,1355
2020-04-03,1347
2020-04-04,1373
2020-04-05,1353
2020-04-06,1401
2020-04-07,1343
2020-04-08,1451
2020-04-09,1451
2020-04-10,1427
2020-04-11,1348
2020-04-12,1295
2020-04-13,1251
2020-04-14,1167
2020-04-15,1103
2020-04-16,1033
2020-04-17,964
2020-04-18,899
2020-04-19,790
2020-04-20,746
2020-04-21,655
2020-04-22,425
2020-04-23,359
2020-04-24,314
2020-04-25,309
2020-04-26,277
2020-04-27,270
2020-04-28,232
2020-04-29,228
2020-04-30,213
2020-05-01,187
2020-05-02,180
2020-05-03,176
2020-05-04,193
2020-05-05,187
2020-05-06,173
2020-05-07,165
2020-05-08,161
2020-05-09,161
2020-05-10,159
2020-05-11,163
2020-05-12,163
2020-05-13,117
2020-05-14,112
2020-05-15,115
2020-05-16,114
2020-05-17,116
2020-05-18,118
2020-05-19,120
2020-05-20,90
2020-05-21,84
2020-05-22,71
2020-05-23,68
2020-05-24,63
2020-05-25,57
2020-05-26,59
2020-05-27,66
2020-05-28,63
2020-05-29,74
2020-05-30,59
2020-05-31,61
2020-06-01,60
2020-06-02,59
2020-06-03,58
2020-06-04,75
2020-06-05,73
2020-06-06,75
2020-06-07,82
2020-06-08,88
2020-06-09,90
2020-06-10,86
2020-06-11,80
2020-06-12,84
2020-06-13,89
2020-06-14,90
2020-06-15,90
2020-06-16,84
2020-06-17,81
2020-06-18,86
2020-06-19,80
2020-06-20,71
2020-06-21,72
2020-06-22,71
2020-06-23,75
2020-06-24,73
