2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,1
2020-02-29,1
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,2
2020-03-10,2
2020-03-11,2
2020-03-12,2
2020-03-13,2
2020-03-14,2
2020-03-15,1
2020-03-16,1
2020-03-17,2
2020-03-18,7
2020-03-19,11
2020-03-20,11
2020-03-21,21
2020-03-22,28
2020-03-23,37
2020-03-24,41
2020-03-25,48
2020-03-26,61
2020-03-27,66
2020-03-28,93
2020-03-29,107
2020-03-30,121
2020-03-31,125
2020-04-01,163
2020-04-02,162
2020-04-03,181
2020-04-04,185
2020-04-05,194
2020-04-06,198
2020-04-07,204
2020-04-08,226
2020-04-09,230
2020-04-10,240
2020-04-11,238
2020-04-12,228
2020-04-13,242
2020-04-14,263
2020-04-15,267
2020-04-16,277
2020-04-17,317
2020-04-18,357
2020-04-19,436
2020-04-20,455
2020-04-21,560
2020-04-22,648
2020-04-23,753
2020-04-24,855
2020-04-25,925
2020-04-26,994
2020-04-27,1042
2020-04-28,1233
2020-04-29,1370
2020-04-30,1555
2020-05-01,1751
2020-05-02,1952
2020-05-03,2071
2020-05-04,2292
2020-05-05,2371
2020-05-06,2508
2020-05-07,2818
2020-05-08,3116
2020-05-09,3278
2020-05-10,3478
2020-05-11,3589
2020-05-12,3670
2020-05-13,3737
2020-05-14,3815
2020-05-15,3954
2020-05-16,3973
2020-05-17,4183
2020-05-18,4340
2020-05-19,4475
2020-05-20,4637
2020-05-21,4898
2020-05-22,5033
2020-05-23,5131
2020-05-24,5350
2020-05-25,5524
2020-05-26,5710
2020-05-27,5978
2020-05-28,6064
2020-05-29,6344
2020-05-30,6726
2020-05-31,6868
2020-06-01,7157
2020-06-02,7265
2020-06-03,7522
2020-06-04,7658
2020-06-05,7815
2020-06-06,8065
2020-06-07,8173
2020-06-08,8400
2020-06-09,8893
2020-06-10,9140
