2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,2
2020-03-07,3
2020-03-08,7
2020-03-09,21
2020-03-10,29
2020-03-11,44
2020-03-12,44
2020-03-13,56
2020-03-14,99
2020-03-15,124
2020-03-16,126
2020-03-17,168
2020-03-18,178
2020-03-19,192
2020-03-20,203
2020-03-21,275
2020-03-22,340
2020-03-23,411
2020-03-24,497
2020-03-25,572
2020-03-26,634
2020-03-27,718
2020-03-28,972
2020-03-29,1305
2020-03-30,1424
2020-03-31,1943
2020-04-01,2158
2020-04-02,2464
2020-04-03,2814
2020-04-04,2881
2020-04-05,3023
2020-04-06,3419
2020-04-07,3503
2020-04-08,3592
2020-04-09,3749
2020-04-10,3834
2020-04-11,4024
2020-04-12,4154
2020-04-13,4375
2020-04-14,4593
2020-04-15,4751
2020-04-16,4863
2020-04-17,5004
2020-04-18,5174
2020-04-19,5278
2020-04-20,5418
2020-04-21,5508
2020-04-22,5571
2020-04-23,5797
2020-04-24,5953
2020-04-25,6008
2020-04-26,6216
2020-04-27,6334
2020-04-28,6453
2020-04-29,6631
2020-04-30,6877
2020-05-01,7109
2020-05-02,7201
2020-05-03,7402
2020-05-04,7547
2020-05-05,7639
2020-05-06,7840
2020-05-07,8040
2020-05-08,8033
2020-05-09,8064
2020-05-10,8151
2020-05-11,8361
2020-05-12,8493
2020-05-13,8595
2020-05-14,8749
2020-05-15,8825
2020-05-16,8927
2020-05-17,9054
2020-05-18,9158
2020-05-19,9262
2020-05-20,9447
2020-05-21,9588
2020-05-22,9648
2020-05-23,9737
2020-05-24,9918
2020-05-25,10123
2020-05-26,10371
2020-05-27,10639
2020-05-28,11069
2020-05-29,11972
2020-05-30,12466
2020-05-31,13220
2020-06-01,13699
2020-06-02,13968
2020-06-03,14621
2020-06-04,15150
2020-06-05,15309
2020-06-06,15905
2020-06-07,16362
