2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,3
2020-03-13,2
2020-03-14,2
2020-03-15,2
2020-03-16,6
2020-03-17,12
2020-03-18,14
2020-03-19,23
2020-03-20,37
2020-03-21,43
2020-03-22,69
2020-03-23,69
2020-03-24,98
2020-03-25,139
2020-03-26,190
2020-03-27,300
2020-03-28,342
2020-03-29,459
2020-03-30,527
2020-03-31,618
2020-04-01,761
2020-04-02,856
2020-04-03,1023
2020-04-04,1168
2020-04-05,1243
2020-04-06,1253
2020-04-07,1389
2020-04-08,1581
2020-04-09,1790
2020-04-10,2073
2020-04-11,2359
2020-04-12,2605
2020-04-13,2912
2020-04-14,3155
2020-04-15,3513
2020-04-16,3859
2020-04-17,4291
2020-04-18,4698
2020-04-19,4961
2020-04-20,5200
2020-04-21,5597
2020-04-22,5994
2020-04-23,6479
2020-04-24,6853
2020-04-25,7142
2020-04-26,7568
2020-04-27,7925
2020-04-28,8179
2020-04-29,8513
2020-04-30,8907
2020-05-01,9176
2020-05-02,9634
2020-05-03,10077
2020-05-04,10409
2020-05-05,10506
2020-05-06,10760
2020-05-07,10955
2020-05-08,11128
2020-05-09,11425
2020-05-10,11781
2020-05-11,11952
2020-05-12,12225
2020-05-13,12270
2020-05-14,12248
2020-05-15,12381
2020-05-16,12455
2020-05-17,12661
2020-05-18,12805
2020-05-19,12696
2020-05-20,12711
2020-05-21,12900
2020-05-22,12975
2020-05-23,13046
2020-05-24,13261
2020-05-25,13388
2020-05-26,13365
2020-05-27,13252
2020-05-28,13274
2020-05-29,13198
2020-05-30,13197
2020-05-31,13426
2020-06-01,13604
2020-06-02,13535
2020-06-03,13648
2020-06-04,13622
2020-06-05,13830
2020-06-06,13925
2020-06-07,14157
2020-06-08,14470
