15-02-2020,null
16-02-2020,0
17-02-2020,0
18-02-2020,0
19-02-2020,0
20-02-2020,0
21-02-2020,0
22-02-2020,0
23-02-2020,0
24-02-2020,0
25-02-2020,0
26-02-2020,0
27-02-2020,1
28-02-2020,2
29-02-2020,0
01-03-2020,4
02-03-2020,0
03-03-2020,7
04-03-2020,14
05-03-2020,5
06-03-2020,28
07-03-2020,10
08-03-2020,6
09-03-2020,18
10-03-2020,12
11-03-2020,20
12-03-2020,9
13-03-2020,39
14-03-2020,41
15-03-2020,190
16-03-2020,125
17-03-2020,120
18-03-2020,117
19-03-2020,110
20-03-2020,130
21-03-2020,153
22-03-2020,123
23-03-2020,212
24-03-2020,106
25-03-2020,172
26-03-2020,235
27-03-2020,130
28-03-2020,159
29-03-2020,150
30-03-2020,156
31-03-2020,140
01-04-2020,142
02-04-2020,208
03-04-2020,217
04-04-2020,150
05-04-2020,179
06-04-2020,131
07-04-2020,170
08-04-2020,156
09-04-2020,109
10-04-2020,118
11-04-2020,184
12-04-2020,153
13-04-2020,134
14-04-2020,170
15-04-2020,85
16-04-2020,110
17-04-2020,69
18-04-2020,54
19-04-2020,84
20-04-2020,36
21-04-2020,57
22-04-2020,50
23-04-2020,71
24-04-2020,88
25-04-2020,51
26-04-2020,38
27-04-2020,40
28-04-2020,31
29-04-2020,94
30-04-2020,57
01-05-2020,69
02-05-2020,105
03-05-2020,122
04-05-2020,55
05-05-2020,30
06-05-2020,45
07-05-2020,39
08-05-2020,68
09-05-2020,54
10-05-2020,67
11-05-2020,70
12-05-2020,16
13-05-2020,37
14-05-2020,40
15-05-2020,36
16-05-2020,17
17-05-2020,22
18-05-2020,47
19-05-2020,37
20-05-2020,31
21-05-2020,50
22-05-2020,78
23-05-2020,48
24-05-2020,60
25-05-2020,172
26-05-2020,187
27-05-2020,15
28-05-2020,10
29-05-2020,103
30-05-2020,30
31-05-2020,57
01-06-2020,38
02-06-2020,20
03-06-2020,93
04-06-2020,277
05-06-2020,19
06-06-2020,37
07-06-2020,19
08-06-2020,7
09-06-2020,7
10-06-2020,2
11-06-2020,31
12-06-2020,33
13-06-2020,43
14-06-2020,8
15-06-2020,41
16-06-2020,11
17-06-2020,10
18-06-2020,14
19-06-2020,6
20-06-2020,21
21-06-2020,16
22-06-2020,15
23-06-2020,3
24-06-2020,6
25-06-2020,4
26-06-2020,6
27-06-2020,10
28-06-2020,18
29-06-2020,3
30-06-2020,2
01-07-2020,1
02-07-2020,3
03-07-2020,5
04-07-2020,10
05-07-2020,5
06-07-2020,5
07-07-2020,6
08-07-2020,3
09-07-2020,6
10-07-2020,13
11-07-2020,8
12-07-2020,14
13-07-2020,7
14-07-2020,4
15-07-2020,5
16-07-2020,3
17-07-2020,18
18-07-2020,9
19-07-2020,15
20-07-2020,21
21-07-2020,15
22-07-2020,16
23-07-2020,9
24-07-2020,21
25-07-2020,23
26-07-2020,13
27-07-2020,7
28-07-2020,39
29-07-2020,13
30-07-2020,8
31-07-2020,12
01-08-2020,9
02-08-2020,14
03-08-2020,2
04-08-2020,1
05-08-2020,21
06-08-2020,15
07-08-2020,25
08-08-2020,7
09-08-2020,13
10-08-2020,11
11-08-2020,9
12-08-2020,11
13-08-2020,15
14-08-2020,20
15-08-2020,26
16-08-2020,25
17-08-2020,12
18-08-2020,7
19-08-2020,16
20-08-2020,5
21-08-2020,9
22-08-2020,8
23-08-2020,10
24-08-2020,7
25-08-2020,11
26-08-2020,6
27-08-2020,5
28-08-2020,10
29-08-2020,11
30-08-2020,17
31-08-2020,6
01-09-2020,14
02-09-2020,6
03-09-2020,14
04-09-2020,11
05-09-2020,6
06-09-2020,6
07-09-2020,62
08-09-2020,100
09-09-2020,24
10-09-2020,45
11-09-2020,182
12-09-2020,58
13-09-2020,47
14-09-2020,31
15-09-2020,23
16-09-2020,62
17-09-2020,21
18-09-2020,95
19-09-2020,20
20-09-2020,52
21-09-2020,57
22-09-2020,82
23-09-2020,147
24-09-2020,72
25-09-2020,110
26-09-2020,82
27-09-2020,150
28-09-2020,115
29-09-2020,101
30-09-2020,89
01-10-2020,260
02-10-2020,287
03-10-2020,317
04-10-2020,293
05-10-2020,432
06-10-2020,691
07-10-2020,489
08-10-2020,375
09-10-2020,354
10-10-2020,374
11-10-2020,561
12-10-2020,563
13-10-2020,660
14-10-2020,660
15-10-2020,589
16-10-2020,629
17-10-2020,869
18-10-2020,871
19-10-2020,865
20-10-2020,862
21-10-2020,732
22-10-2020,847
23-10-2020,710
24-10-2020,1228
25-10-2020,823
26-10-2020,1240
27-10-2020,835
28-10-2020,801
29-10-2020,649
30-10-2020,799
31-10-2020,659
01-11-2020,957
02-11-2020,834
03-11-2020,1054
04-11-2020,1032
05-11-2020,1009
06-11-2020,1755
07-11-2020,1168
08-11-2020,852
09-11-2020,972
10-11-2020,869
11-11-2020,822
12-11-2020,919
13-11-2020,1304
14-11-2020,1114
15-11-2020,1208
16-11-2020,1103
17-11-2020,1210
18-11-2020,660
19-11-2020,1290
20-11-2020,958
21-11-2020,1041
22-11-2020,1096
23-11-2020,1884
24-11-2020,2188
25-11-2020,970
26-11-2020,935
27-11-2020,1109
28-11-2020,1315
29-11-2020,1309
30-11-2020,1212
01-12-2020,1472
02-12-2020,851
03-12-2020,1075
04-12-2020,1141
05-12-2020,1123
06-12-2020,1335
07-12-2020,1600
08-12-2020,1012
09-12-2020,959
10-12-2020,2234
11-12-2020,1810
12-12-2020,1937
13-12-2020,1229
14-12-2020,1371
15-12-2020,1772
16-12-2020,1295
17-12-2020,1220
18-12-2020,1683
19-12-2020,1153
20-12-2020,1340
21-12-2020,2018
22-12-2020,2062
23-12-2020,1348
24-12-2020,1581
25-12-2020,1247
26-12-2020,2335
27-12-2020,1196
28-12-2020,1594
29-12-2020,1925
30-12-2020,1870
31-12-2020,2525
01-01-2021,2068
02-01-2021,2295
03-01-2021,1704
04-01-2021,1741
05-01-2021,2027
06-01-2021,2593
07-01-2021,3027
08-01-2021,2643
09-01-2021,2451
10-01-2021,2433
11-01-2021,2232
12-01-2021,3309
13-01-2021,2985
14-01-2021,3337
15-01-2021,3211
16-01-2021,4029
17-01-2021,3339
18-01-2021,3306
19-01-2021,3631
20-01-2021,4008
21-01-2021,3170
22-01-2021,3631
23-01-2021,4275
24-01-2021,3346
25-01-2021,3048
26-01-2021,3585
27-01-2021,3680
28-01-2021,4094
29-01-2021,5725
30-01-2021,5728
31-01-2021,5298
01-02-2021,4214
02-02-2021,3455
03-02-2021,4284
04-02-2021,4571
05-02-2021,3391
06-02-2021,3847
07-02-2021,3731
08-02-2021,3100
09-02-2021,2764
10-02-2021,3288
11-02-2021,3384
12-02-2021,3318
13-02-2021,3499
14-02-2021,2464
15-02-2021,2176
16-02-2021,2720
17-02-2021,2998
18-02-2021,2712
19-02-2021,2936
20-02-2021,2461
21-02-2021,3297
22-02-2021,2192
23-02-2021,2468
24-02-2021,3545
25-02-2021,1924
26-02-2021,2253
27-02-2021,2364
28-02-2021,2437
01-03-2021,1828
02-03-2021,1555
03-03-2021,1745
04-03-2021,2063
05-03-2021,2154
06-03-2021,1680
07-03-2021,1683
08-03-2021,1529
09-03-2021,1280
10-03-2021,1448
11-03-2021,1647
12-03-2021,1575
13-03-2021,1470
14-03-2021,1354
15-03-2021,1208
16-03-2021,1063
17-03-2021,1219
18-03-2021,1213
19-03-2021,1576
20-03-2021,1671
21-03-2021,1327
22-03-2021,1116
23-03-2021,1384
24-03-2021,1268
25-03-2021,1360
26-03-2021,1275
27-03-2021,1199
28-03-2021,1302
29-03-2021,941
30-03-2021,1133
31-03-2021,1482
01-04-2021,1178
02-04-2021,1294
03-04-2021,1638
04-04-2021,1349
05-04-2021,1070
06-04-2021,1300
07-04-2021,1139
08-04-2021,1285
09-04-2021,1854
10-04-2021,1510
11-04-2021,1739
12-04-2021,1317
13-04-2021,1767
14-04-2021,1889
15-04-2021,2148
16-04-2021,2551
17-04-2021,2331
18-04-2021,2195
19-04-2021,2078
20-04-2021,2341
21-04-2021,2340
22-04-2021,2875
23-04-2021,2847
24-04-2021,2717
25-04-2021,2690
26-04-2021,2776
27-04-2021,2733
28-04-2021,3142
29-04-2021,3332
30-04-2021,3788
01-05-2021,2881
02-05-2021,3418
03-05-2021,2500
04-05-2021,3120
05-05-2021,3744
06-05-2021,3551
07-05-2021,4498
08-05-2021,4519
09-05-2021,3733
10-05-2021,3807
11-05-2021,3973
12-05-2021,4765
13-05-2021,4855
14-05-2021,4113
15-05-2021,4140
16-05-2021,3780
17-05-2021,4446
18-05-2021,4865
19-05-2021,6075
20-05-2021,6806
21-05-2021,6493
22-05-2021,6320
23-05-2021,6976
24-05-2021,6509
25-05-2021,7289
26-05-2021,7478
27-05-2021,7857
28-05-2021,8290
29-05-2021,9020
30-05-2021,6999
31-05-2021,6824
01-06-2021,7105
02-06-2021,7703
03-06-2021,8209
04-06-2021,7748
05-06-2021,7452
06-06-2021,6241
07-06-2021,5271
08-06-2021,5566
09-06-2021,6239
10-06-2021,5671
11-06-2021,6849
12-06-2021,5793
13-06-2021,5304
14-06-2021,4949
15-06-2021,5419
16-06-2021,5150
17-06-2021,5738
18-06-2021,6440
19-06-2021,5911
20-06-2021,5293
21-06-2021,4611
22-06-2021,4743
23-06-2021,5244
24-06-2021,5841
25-06-2021,5812
26-06-2021,5803
27-06-2021,5586
28-06-2021,5218
29-06-2021,6437
30-06-2021,6276
01-07-2021,6988
02-07-2021,6982
03-07-2021,6658
04-07-2021,6045
05-07-2021,6387
06-07-2021,7654
07-07-2021,7097
08-07-2021,8868
09-07-2021,9180
10-07-2021,9353
11-07-2021,9105
12-07-2021,8574
13-07-2021,11079
14-07-2021,11618
15-07-2021,13215
16-07-2021,12541
17-07-2021,12528
18-07-2021,10710
19-07-2021,10972
20-07-2021,12366
21-07-2021,11985
22-07-2021,13034
23-07-2021,15573
24-07-2021,15902
25-07-2021,17045
26-07-2021,14516
27-07-2021,16117
28-07-2021,17405
29-07-2021,17170
30-07-2021,16840
31-07-2021,17786
01-08-2021,17150
02-08-2021,15764
03-08-2021,17105
04-08-2021,19819
05-08-2021,20596
06-08-2021,20889
07-08-2021,19257
08-08-2021,18688
09-08-2021,17236
10-08-2021,19991
11-08-2021,20780
12-08-2021,21668
13-08-2021,21468
14-08-2021,20670
15-08-2021,20546
16-08-2021,19740
17-08-2021,19631
18-08-2021,22242
19-08-2021,22948
20-08-2021,23564
21-08-2021,22262
22-08-2021,19807
23-08-2021,17672
24-08-2021,20837
25-08-2021,22642
26-08-2021,24599
27-08-2021,22070
28-08-2021,22597
29-08-2021,20579
30-08-2021,19268
31-08-2021,20897
01-09-2021,18762
02-09-2021,20988
03-09-2021,19378
04-09-2021,19057
05-09-2021,20396
06-09-2021,17352
07-09-2021,18547
08-09-2021,19733
09-09-2021,19307
10-09-2021,21176
11-09-2021,19550
12-09-2021,19198
13-09-2021,16073
14-09-2021,15669
15-09-2021,19495
16-09-2021,18815
17-09-2021,17577
18-09-2021,15549
19-09-2021,14954
20-09-2021,14345
21-09-2021,15759
22-09-2021,14990
23-09-2021,13754
24-09-2021,14554
25-09-2021,13899
26-09-2021,13104
27-09-2021,10959
28-09-2021,11332
29-09-2021,12434
30-09-2021,12735
01-10-2021,11889
02-10-2021,10915
03-10-2021,9066
04-10-2021,8075
05-10-2021,8817
06-10-2021,9380
07-10-2021,9890
08-10-2021,9751
09-10-2021,8743
10-10-2021,7373
11-10-2021,6709
12-10-2021,7276
13-10-2021,7950
14-10-2021,8084
15-10-2021,7420
16-10-2021,7509
17-10-2021,6145
18-10-2021,5434
19-10-2021,5745
20-10-2021,5516
21-10-2021,6210
22-10-2021,6630
23-10-2021,5828
24-10-2021,5666
25-10-2021,4782
26-10-2021,5726
27-10-2021,6148
28-10-2021,6377
29-10-2021,6060
30-10-2021,5854
31-10-2021,4979
01-11-2021,4626
02-11-2021,5071
03-11-2021,5291
04-11-2021,5713
05-11-2021,4922
06-11-2021,4701
07-11-2021,4343
08-11-2021,4543
09-11-2021,5403
10-11-2021,6243
11-11-2021,6323
12-11-2021,6517
13-11-2021,5809
14-11-2021,5162
15-11-2021,5143
16-11-2021,5413
17-11-2021,6288
18-11-2021,6380
19-11-2021,6355
20-11-2021,5859
21-11-2021,4854
22-11-2021,4885
23-11-2021,5594
24-11-2021,5755
25-11-2021,6144
